LocationID,LocationIDOld,Country,Location,Region,Latitude,Longitude,ElevM,MAX_TEMP,MIN_TEMP,PRE,EVAP,START,MegaEnviron,DAYLENGTH,MEANTEMP,MEANTEMPRange,Z_M_RAIN,SITEID,LocationData,GRIDCODE,COUNT,ELEVATION,ELEV_M,LatitudeMin,grlatitud,minlatitud,latitudNS,LongitudeMin,grlongitud,minlongitud,longitudEW,LATITUDEdec,LONGITUDEdec,oldid,Irrig_p,ISO2,ISO3,temp_lat,temp_lng,geometry
38,,BANGLADESH,RAHMATPUR BARISAL,Asia,22.1,90.5,0.0,31.54,25.42,2130.0,577.23,6.0,Wet Lowland,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22 6 N,22.0,6.0,N,89 90 E,89.0,90.0,E,0.0,0.0,1154.0,0.0,BD,BGD,22.1,90.5,POINT (90.5 22.1)
112,,CHINA,WENSHAN,Asia,22.47,106.18,385.0,29.244444,21.84,1343.0,604.832886,5.0,Wet Upper Mid-altitude,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,22 28N,22.0,28.0,N,106 11E,106.0,11.0,E,0.0,0.0,1274.0,0.0,CN,CHN,22.47,106.18,POINT (106.18 22.47)
161,,COLOMBIA,MONTERIA,South America,8.83,-57.78,15.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,8 50N,8.0,50.0,N,57 47W,57.0,47.0,W,0.0,0.0,128.0,0.0,CO,COL,8.83,-57.78,POINT (-57.78 8.83)
216,,COSTA RICA,GUAGARAL,Central America and Caribbe,11.69527,-85.78125,35.0,33.9577789307,25.3000011444,1054.0,702.505615234,6.0,Wet Lowland,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,2258.0,0.0,CR,CRI,11.69527,-85.78125,POINT (-85.78125 11.69527)
230,,CUBA,ALQUIZAR,Central America and Caribbean,23.83,-82.52,51.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23 50N,23.0,50.0,N,82 31W,82.0,31.0,W,0.0,0.0,619.0,0.0,CU,CUB,23.83,-82.52,POINT (-82.52 23.83)
231,,CUBA,TOMEGUIN,Central America and Caribbean,23.85,-82.52,50.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,23 51N,23.0,51.0,N,82 31W,82.0,31.0,W,0.0,0.0,620.0,0.0,CU,CUB,23.85,-82.52,POINT (-82.52 23.85)
280,,ESPAÑA,PONTEVEDRA,Europa,40.9799,-2.10938,1204.0,35.1422233582,23.8199996948,629.0,797.772094727,6.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,1880.0,0.0,not found,not found,40.9799,-2.10938,POINT (-2.10938 40.9799)
292,,ETHIOPIA,KITALE-WS,Eastern and Southern Africa,1.01666998863,34.9833297729,1825.0,24.2399997711,11.6000003815,709.0,570.0,4.0,Wet Upper Mid-altitude,,,,,,,,,,,,,,,,,,,,,,0.0,ET,ETH,1.01666998863,34.9833297729,POINT (34.9833297729 1.01666998863)
314,,GHANA,TAMALE,Western Africa,9.3972,0.8329,170.0,30.3600006104,22.1800003052,853.0,605.0,5.0,Wet Lowland,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,1952.0,0.0,GH,GHA,9.3972,0.8329,POINT (0.8329 9.3972)
316,,GREECE,THESSALONIKI-KENTRIKO,North Africa and Near East,39.09596,23.37891,0.0,28.8444442749,22.1800003052,3738.0,573.928100586,5.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,1730.0,0.0,GR,GRC,39.09596,23.37891,POINT (23.37891 39.09596)
